Delivery Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
18.09.2019;29.93;29.12;28.00;27.68;29.10;31.98;42.02;47.00;48.85;44.25;41.29;41.00;38.00;39.00;40.84;39.15;39.76;43.50;47.05;52.40;51.91;45.92;43.25;38.99
17.09.2019;35.28;34.50;32.33;30.65;31.09;33.57;44.16;47.29;50.40;46.07;41.60;41.76;39.90;37.91;36.49;35.06;35.01;37.10;41.02;44.08;42.39;37.22;35.00;31.03
16.09.2019;29.45;28.10;28.10;28.04;28.50;31.85;41.97;50.47;58.00;52.26;47.00;44.48;42.00;41.09;40.91;40.90;40.90;43.60;44.96;46.90;47.20;41.90;39.53;35.00
15.09.2019;29.93;28.00;26.88;25.72;24.00;23.50;24.40;25.10;26.00;25.30;24.90;25.49;18.45;15.27;14.00;16.00;23.67;29.00;33.40;38.01;41.00;37.00;36.73;34.10
14.09.2019;37.32;33.47;31.61;31.42;30.49;33.20;36.90;38.22;40.10;39.86;36.25;35.25;32.81;32.14;30.49;30.79;33.12;39.24;45.16;50.62;48.47;41.96;38.70;33.30
13.09.2019;29.03;28.30;27.10;26.22;26.19;28.74;37.94;42.90;43.69;41.61;39.80;37.12;36.20;34.90;33.97;35.27;35.67;40.90;43.00;45.40;44.92;42.10;40.30;35.10
12.09.2019;29.51;27.39;27.44;27.61;28.48;30.33;40.90;45.10;50.34;47.43;45.78;43.00;38.00;36.80;35.00;35.49;35.83;41.91;43.70;50.07;49.22;43.60;38.50;32.52
11.09.2019;31.32;29.76;29.43;29.50;30.50;32.50;40.48;44.11;43.00;39.98;37.49;34.50;32.49;31.80;31.95;31.47;32.28;35.60;38.10;40.64;41.15;38.55;33.14;30.27
10.09.2019;32.31;31.00;29.51;28.50;29.20;31.00;38.40;43.90;43.90;40.50;39.09;34.26;32.41;32.30;32.06;32.50;33.50;39.54;44.67;50.14;49.93;44.45;40.98;34.04
09.09.2019;33.30;31.00;30.08;28.06;28.80;31.11;42.36;52.16;54.90;53.00;45.80;42.77;39.91;39.92;39.50;39.50;40.00;45.00;51.10;57.96;53.94;46.67;43.20;38.00
